"DateTime";"Players"
"2021-05-18 23:50:00";7838
"2021-05-19 00:00:00";7918
"2021-05-19 00:10:00";7938
"2021-05-19 00:20:00";8051
"2021-05-19 00:30:00";8181
"2021-05-19 00:40:00";8377
"2021-05-19 00:50:00";8551
"2021-05-19 01:00:00";8638
"2021-05-19 01:10:00";8803
"2021-05-19 01:20:00";8985
"2021-05-19 01:30:00";9181
"2021-05-19 01:40:00";9190
"2021-05-19 01:50:00";9099
"2021-05-19 02:00:00";9074
"2021-05-19 02:10:00";8984
"2021-05-19 02:20:00";9100
"2021-05-19 02:30:00";9167
"2021-05-19 02:40:00";9160
"2021-05-19 02:50:00";9114
"2021-05-19 03:00:00";9089
"2021-05-19 03:10:00";8838
"2021-05-19 03:20:00";8780
"2021-05-19 03:30:00";8710
"2021-05-19 03:40:00";8462
"2021-05-19 03:50:00";8297
"2021-05-19 04:00:00";7996
"2021-05-19 04:10:00";7728
"2021-05-19 04:20:00";7473
"2021-05-19 04:30:00";7256
"2021-05-19 04:40:00";7020
"2021-05-19 04:50:00";6882
"2021-05-19 05:00:00";6701
"2021-05-19 05:10:00";6449
"2021-05-19 05:20:00";6267
"2021-05-19 05:30:00";6078
"2021-05-19 05:40:00";5929
"2021-05-19 05:50:00";5690
"2021-05-19 06:00:00";5593
"2021-05-19 06:10:00";5469
"2021-05-19 06:20:00";5407
"2021-05-19 06:30:00";5365
"2021-05-19 06:40:00";5396
"2021-05-19 06:50:00";5339
"2021-05-19 07:00:00";5210
"2021-05-19 07:10:00";5105
"2021-05-19 07:20:00";5043
"2021-05-19 07:30:00";4913
"2021-05-19 07:40:00";4888
"2021-05-19 07:50:00";4895
"2021-05-19 08:00:00";4821
"2021-05-19 08:10:00";4851
"2021-05-19 08:20:00";4874
"2021-05-19 08:30:00";4857
"2021-05-19 08:40:00";4944
"2021-05-19 08:50:00";4913
"2021-05-19 09:00:00";4943
"2021-05-19 09:10:00";4883
"2021-05-19 09:20:00";4878
"2021-05-19 09:30:00";4919
"2021-05-19 09:40:00";4987
"2021-05-19 09:50:00";4956
"2021-05-19 10:00:00";4930
"2021-05-19 10:10:00";4897
"2021-05-19 10:20:00";4854
"2021-05-19 10:30:00";4956
"2021-05-19 10:40:00";5087
"2021-05-19 10:50:00";5171
"2021-05-19 11:00:00";5289
"2021-05-19 11:10:00";5464
